,FECHA,SEMANA,TURNO,HORA DE INICIO,RESPONSABLE,OPERADORES,NUMERO DE PEDIDO,SELL.,NOMBRE DEL PEDIDO,TIPO DE BOLSA,MEDIDA,CALIBRE,GPM (Golpes por minuto),TEMPERATURA DE SELLADO (INFERIOR),TEMPERATURA DE SELLADO (SUPERIOR),PESO/BULTO,KG/DE BOBINA,N° DE BULTOS,PROMEDIO,MILLARES,SERIALIZADO INICIO,SERIALIZADO FIN,PESO DE TROQUEL,MERMA EXTRUSION,CAUSAS EXTRUSION,MER IMPRESIÓN,CAUSAS IMPRESIÓN,IMPRESIÓN  MERMA POR PROCESO,MERMA SELLADO,CAUSAS SELLADO,BOLSA DE 2A,ORIGEN,CUARENTENA,BASURA,MUESTRAS,HORA FINAL,HORAS DE TRABAJO,year,month,day
2341,2019-06-25,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES18,SAP-2267,SEL012,HECL-003,TIPODEBOLSA2,28X55+5,180.0,,,,215.71,343.0,10.0,21.57,15.0,19501,34500,0.0,0.0,CAUSASEXTRUSION1,3.82,CAUSASIMPRESIÓN1,,1.56,CAUSASSELLADO1,0.0,,,0.2,0,13:30:00,7.5,2019,6,25
2342,2019-06-25,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES32,240619,SEL009,PROI-028,TIPODEBOLSA3,27+15X51,110.0,,,,400.0,436.0,20.0,20,0.0,,,78.85,11.11,CAUSASEXTRUSION3,0.0,CAUSASIMPRESIÓN4,,2.0,CAUSASSELLADO1,0.0,,,0.37,0,14:00:00,8.0,2019,6,25
2343,2019-06-25,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES1,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,294.91,343.0,13.0,22.69,19.5,9001,28500,0.0,0.0,CAUSASEXTRUSION1,8.42,CAUSASIMPRESIÓN1,,4.0,CAUSASSELLADO1,0.0,,,0.61,0.07,14:00:00,8.0,2019,6,25
2344,2019-06-25,26,1.0,6:00:00 a. m.,RESPONSABLE1,OPERADORES4,SAP-2238,SEL008,YOPZ-002,TIPODEBOLSA5,20X35,170.0,,,,100.0,99.0,5.0,20,0.0,,,0.0,0.0,CAUSASEXTRUSION1,2.62,CAUSASIMPRESIÓN1,,2.24,CAUSASSELLADO1,0.0,,,0.18,0.06,14:00:00,8.0,2019,6,25
2345,2019-06-25,26,1.0,6:10:00 a. m.,RESPONSABLE1,OPERADORES2,SAP-2229,SEL011,ELLL-001,TIPODEBOLSA2,28X60,220.0,,,,307.24,370.0,12.0,25.6,18.0,,,0.0,0.0,CAUSASEXTRUSION1,5.6,CAUSASIMPRESIÓN1,,1.5,CAUSASSELLADO1,0.0,,,1.0,0.15,14:00:00,7.8,2019,6,25
2346,2019-06-25,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES8,SAP-2238,SEL008,YOPZ-002,TIPODEBOLSA5,20X35,170.0,,,,140.0,157.0,7.0,20,0.0,,,0.0,0.0,CAUSASEXTRUSION1,2.38,CAUSASIMPRESIÓN1,,0.15,CAUSASSELLADO1,0.0,,,0.3,0.04,22:00:00,8.0,2019,6,25
2347,2019-06-25,26,2.0,2:30:00 p. m.,RESPONSABLE2,OPERADORES15,240619,SEL009,PROI-028,TIPODEBOLSA3,27+15X51,110.0,,,,200.0,184.0,10.0,20,0.0,,,36.83,1.0,CAUSASEXTRUSION5,0.0,CAUSASIMPRESIÓN4,,0.49,CAUSASSELLADO1,0.0,,,0.21,0.08,20:00:00,5.5,2019,6,25
2348,2019-06-25,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES5,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,224.37,248.0,10.0,22.44,15.0,28501,43500,0.0,3.5,CAUSASEXTRUSION2,4.0,CAUSASIMPRESIÓN1,,3.0,CAUSASSELLADO1,0.0,,,0.5,0.12,22:00:00,8.0,2019,6,25
2349,2019-06-25,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES11,SAP-2229,SEL011,ELLL-001,TIPODEBOLSA2,28X60,220.0,,,,282.45,264.0,11.0,25.68,16.5,,,0.0,0.0,CAUSASEXTRUSION1,5.13,CAUSASIMPRESIÓN1,,0.5,CAUSASSELLADO1,0.0,,,0.13,0.12,22:00:00,8.0,2019,6,25
2350,2019-06-25,26,2.0,2:00:00 p. m.,RESPONSABLE2,OPERADORES3,SAP-2267,SEL012,HECL-003,TIPODEBOLSA2,28X55+5,180.0,,,,281.87,187.0,13.0,21.68,19.5,34501,54000,0.0,0.0,CAUSASEXTRUSION1,4.0,CAUSASIMPRESIÓN1,,1.7,CAUSASSELLADO1,0.0,,,0.5,0.11,21:50:00,7.8,2019,6,25
2351,2019-06-25,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES7,SAP-2215,SEL010,TEPU-004,TIPODEBOLSA2,30X59+6+9,140.0,,,,247.89,258.0,11.0,22.54,16.5,43501,60000,0.0,0.0,CAUSASEXTRUSION1,4.38,CAUSASIMPRESIÓN1,,2.18,CAUSASSELLADO1,0.0,,,0.32,0.12,6:00:00,8.0,2019,6,25
2352,2019-06-25,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES6,SAP-240619,SEL009,PROI-028,TIPODEBOLSA3,27+15X51,,,,,151.7,168.0,7.0,21.67,0.0,,,26.05,1.0,CAUSASEXTRUSION3,0.0,CAUSASIMPRESIÓN4,,0.49,CAUSASSELLADO1,0.0,,,0.25,0,1:00:00,3.0,2019,6,25
2353,2019-06-25,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES13,SAP-2238,SEL008,YOPZ-002,TIPODEBOLSA5,20X35,170.0,,,,13.8,37.0,1.0,13.8,0.0,,,0.0,0.0,CAUSASEXTRUSION1,1.56,CAUSASIMPRESIÓN1,,0.15,CAUSASSELLADO1,0.0,,,0.0,0,23:00:00,1.0,2019,6,25
2354,2019-06-25,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES10,SAP-2229,SEL011,ELLL-001,TIPODEBOLSA2,28X60,220.0,,,,39.12,0.0,1.0,39.12,2.289,,,0.0,0.0,CAUSASEXTRUSION1,0.41,CAUSASIMPRESIÓN1,,0.62,CAUSASSELLADO1,0.0,,,0.0,0,23:15:00,1.3,2019,6,25
2355,2019-06-25,26,3.0,10:00:00 p. m.,RESPONSABLE6,OPERADORES12,SAP-2267,SEL012,HECL-003,TIPODEBOLSA2,28X55+5,180.0,,,,280.91,275.0,13.0,21.61,19.5,54001,73500,0.0,0.0,CAUSASEXTRUSION1,3.1,CAUSASIMPRESIÓN1,,0.2,CAUSASSELLADO1,0.0,,,0.65,0.12,6:00:00,8.0,2019,6,25
